label,species_name
0,Neisseria gonorrhoeae
1,Euryarchaeota archaeon
2,Bacillus pseudomycoides
3,Burkholderia sp.
4,Proteobacteria bacterium
5,Dehalococcoidia bacterium
6,Bacteroides fragilis
7,Vibrio cholerae
8,Staphylococcus haemolyticus
9,Prochlorococcus sp.
10,Lactobacillus rhamnosus
11,Enterococcus faecalis
12,Enterococcus faecium
13,Bacteroidetes bacterium
14,Flavobacteriales bacterium
15,Firmicutes bacterium
16,Mycobacterium abscessus
17,Verrucomicrobia bacterium
18,Listeria monocytogenes
19,Corynebacterium diphtheriae
20,Lactobacillus plantarum
21,Acidobacteria bacterium
22,Salmonella enterica
23,Campylobacter jejuni
24,Staphylococcus sp.
25,Microbacterium sp.
26,Pseudomonas sp.
27,Helicobacter pylori
28,Klebsiella quasipneumoniae
29,Mycobacterium avium
30,Streptococcus pneumoniae
31,Bacillus cereus
32,Staphylococcus epidermidis
33,Klebsiella aerogenes
34,Bacillus anthracis
35,Shigella flexneri
36,Prevotella sp.
37,Bacillus toyonensis
38,Rhodococcus sp.
39,Pseudomonas stutzeri
40,Campylobacter coli
41,Oenococcus oeni
42,Haemophilus influenzae
43,Escherichia coli
44,Streptococcus sp.
45,Yersinia pestis
46,Streptococcus pyogenes
47,Actinobacteria bacterium
48,Clostridioides difficile
49,Clostridium sp.
50,Rhodospirillaceae bacterium
51,Bacteroidales bacterium
52,Acinetobacter baumannii
53,Stenotrophomonas maltophilia
54,Gammaproteobacteria bacterium
55,Campylobacter concisus
56,Clostridium botulinum
57,Staphylococcus argenteus
58,Pasteurella multocida
59,Burkholderia pseudomallei
60,Flavobacteriaceae bacterium
61,Bacillus subtilis
62,Francisella tularensis
63,Streptococcus mutans
64,Neisseria meningitidis
65,Bacillus thuringiensis
66,Bacillales bacterium
67,Enterobacter hormaechei
68,Paenibacillus sp.
69,Vibrio parahaemolyticus
70,Legionella pneumophila
71,Mesorhizobium sp.
72,Alphaproteobacteria bacterium
73,Cronobacter sakazakii
74,Sphingomonas sp.
75,Vibrio vulnificus
76,Rhizobium sp.
77,Klebsiella oxytoca
78,Lachnospiraceae bacterium
79,Lactococcus lactis
80,Acinetobacter sp.
81,Leptospira interrogans
82,Corynebacterium sp.
83,Mycobacterium sp.
84,Deltaproteobacteria bacterium
85,Brucella abortus
86,Porphyromonadaceae bacterium
87,Yersinia enterocolitica
88,Burkholderia ubonensis
89,Serratia marcescens
90,Shigella sonnei
91,Bordetella pertussis
92,Pseudomonas aeruginosa
93,Elusimicrobia bacterium
94,Clostridiales bacterium
95,Klebsiella pneumoniae
96,Streptococcus agalactiae
97,Enterobacter cloacae
98,Chloroflexi bacterium
99,Streptococcus equi
100,Streptococcus suis
101,Acinetobacter pittii
102,Bacillus wiedmannii
103,Burkholderia cenocepacia
104,Ruminococcaceae bacterium
105,Xanthomonas oryzae
106,Pseudomonas syringae
107,Staphylococcus aureus
108,Vibrio sp.
109,Streptomyces sp.
110,Mycobacterium tuberculosis
